year,sector,total_oda
2002,Agriculture & Natural Resources,34.84676403804395
2002,Communications,10.26038
2002,Education,83.219525
2002,Energy,16.091946
2002,Environmental Protection,128.06314674812762
2002,Finance & Banking,4.209007
2002,Governance & Civil Society,73.348392
2002,Health,22.830743000000002
2002,Industry Mining & Construction,5.70062
2002,Other Multisector,3.961432
2002,Other Social Infrastructure,9.640183
2002,Population & Reproductive Health,2.440714
2002,Trade,0.057005
2002,Transport & Storage,95.332704
2002,Water & Sanitation,34.69333021382841
2003,Agriculture & Natural Resources,40.922064886697186
2003,Communications,0.9117430000000001
2003,Education,67.42001499999999
2003,Energy,3.8998929999999996
2003,Environmental Protection,108.8336231133028
2003,Finance & Banking,4.152471
2003,Governance & Civil Society,86.38643
2003,Health,44.95607840724999
2003,Industry Mining & Construction,12.230834
2003,Other Multisector,0.192153
2003,Other Social Infrastructure,38.012567000000004
2003,Population & Reproductive Health,50.92338059275001
2003,Trade,0.04735
2003,Transport & Storage,122.84010599999999
2003,Water & Sanitation,25.775502
2004,Agriculture & Natural Resources,48.264018
2004,Communications,1.867622
2004,Education,94.117008
2004,Energy,3.0953976669647654
2004,Environmental Protection,112.58838833303523
2004,Finance & Banking,10.985628
2004,Governance & Civil Society,121.26422099999999
2004,Health,63.96548649999106
2004,Industry Mining & Construction,20.961991
2004,Other Social Infrastructure,23.575152999999997
2004,Population & Reproductive Health,74.96723750000893
2004,Trade,0.111029
2004,Transport & Storage,112.062814
2004,Water & Sanitation,23.192105
2005,Agriculture & Natural Resources,33.15686545107136
2005,Business & Other Services,1.394619
2005,Communications,4.2169620000000005
2005,Education,49.441046
2005,Energy,8.588094
2005,Environmental Protection,82.33010552678863
2005,Finance & Banking,8.942983
2005,Governance & Civil Society,158.33983600000002
2005,Health,71.54439619903486
2005,Industry Mining & Construction,10.836335
2005,Other Social Infrastructure,14.414423000000001
2005,Population & Reproductive Health,105.07639280096514
2005,Trade,0.344165
2005,Transport & Storage,82.182132
2005,Water & Sanitation,16.284976022140004
2006,Agriculture & Natural Resources,356.59248764612363
2006,Business & Other Services,41.361364112719976
2006,Communications,553.173217694165
2006,Education,847.4926434824981
2006,Energy,225.36926766553654
2006,Environmental Protection,190.04425219974112
2006,Finance & Banking,70.81585338746267
2006,Governance & Civil Society,401.2243870745488
2006,Health,183.10663953669157
2006,Industry Mining & Construction,251.16114408298643
2006,Other Multisector,466.35185657017576
2006,Other Social Infrastructure,164.41968667501234
2006,Population & Reproductive Health,104.13650358682987
2006,Tourism,5.5469023457465685
2006,Trade,0.4490329399141364
2006,Transport & Storage,922.2595429958812
2006,Water & Sanitation,1307.5731030039663
2007,Agriculture & Natural Resources,295.0160820552359
2007,Business & Other Services,6.411108980311887
2007,Communications,127.02238844596516
2007,Education,1089.6086401831449
2007,Energy,117.88581513495345
2007,Environmental Protection,205.65651646031915
2007,Finance & Banking,47.07275738128933
2007,Governance & Civil Society,314.1855467258643
2007,Health,258.36379125879387
2007,Industry Mining & Construction,250.46241689230652
2007,Other Multisector,783.525146722049
2007,Other Social Infrastructure,212.84862369492893
2007,Population & Reproductive Health,137.15567772057219
2007,Tourism,12.137102292248427
2007,Trade,15.939421603570676
2007,Transport & Storage,804.7060293595919
2007,Water & Sanitation,1028.5103030888542
2008,Agriculture & Natural Resources,380.111233328453
2008,Business & Other Services,9.00854004253993
2008,Communications,75.7211440832478
2008,Education,866.071323539876
2008,Energy,450.643182761801
2008,Environmental Protection,226.48040770464718
2008,Finance & Banking,406.72558091092253
2008,Governance & Civil Society,312.9412479290097
2008,Health,230.82210503685224
2008,Industry Mining & Construction,822.4193620833225
2008,Other Multisector,623.9553743987403
2008,Other Social Infrastructure,148.5192162576074
2008,Population & Reproductive Health,210.30516254692364
2008,Tourism,3.8878365263678165
2008,Trade,31.9640839488406
2008,Transport & Storage,345.15622654927233
2008,Water & Sanitation,1523.934687351576
2009,Agriculture & Natural Resources,719.325558822314
2009,Business & Other Services,212.215581150209
2009,Communications,33.38999985521705
2009,Education,911.3536055167204
2009,Energy,316.65989080168913
2009,Environmental Protection,296.0523392532675
2009,Finance & Banking,143.26538855635093
2009,Governance & Civil Society,928.2623393896383
2009,Health,314.42306555094916
2009,Industry Mining & Construction,72.22433138638046
2009,Other Multisector,536.4930778711457
2009,Other Social Infrastructure,875.6382755118489
2009,Population & Reproductive Health,576.6802194002106
2009,Tourism,8.836117664515161
2009,Trade,57.94931833263301
2009,Transport & Storage,365.18827820049705
2009,Water & Sanitation,1089.3852167364137
2010,Agriculture & Natural Resources,923.4025250041703
2010,Business & Other Services,110.7618648941994
2010,Communications,29.216102977913533
2010,Education,1126.1452053532494
2010,Energy,476.4528966107791
2010,Environmental Protection,808.6086476804659
2010,Finance & Banking,298.8207699212664
2010,Governance & Civil Society,2320.84478680443
2010,Health,474.4700432514283
2010,Industry Mining & Construction,182.65710020009337
2010,Other Multisector,808.7925019854002
2010,Other Social Infrastructure,526.7345103510305
2010,Population & Reproductive Health,1003.8302789555626
2010,Tourism,33.944230580646206
2010,Trade,58.23744101911916
2010,Transport & Storage,766.9236588279067
2010,Water & Sanitation,708.888521582339
2011,Agriculture & Natural Resources,701.8891020988322
2011,Business & Other Services,99.41407428187989
2011,Communications,25.36862357568009
2011,Education,933.5893427931944
2011,Energy,446.44379381137554
2011,Environmental Protection,999.3578390010637
2011,Finance & Banking,183.9471662110522
2011,Governance & Civil Society,2430.020601462225
2011,Health,492.23990119118673
2011,Industry Mining & Construction,188.08662902876532
2011,Other Multisector,455.7370007646111
2011,Other Social Infrastructure,519.8959668146312
2011,Population & Reproductive Health,649.9163770490651
2011,Tourism,25.521455129983973
2011,Trade,56.176307918224
2011,Transport & Storage,702.4405506479502
2011,Water & Sanitation,717.6364082202791
2012,Agriculture & Natural Resources,664.6518846907982
2012,Business & Other Services,105.45873165047678
2012,Communications,16.508333025126618
2012,Education,831.383116333942
2012,Energy,628.969743217742
2012,Environmental Protection,521.0719027126322
2012,Finance & Banking,193.96322625887987
2012,Governance & Civil Society,1666.1100377665641
2012,Health,358.26395287499173
2012,Industry Mining & Construction,106.02742079863995
2012,Other Multisector,389.17715726771047
2012,Other Social Infrastructure,841.5167744661753
2012,Population & Reproductive Health,520.9084849911494
2012,Tourism,26.710070794270134
2012,Trade,75.93897920579771
2012,Transport & Storage,1028.26626476728
2012,Water & Sanitation,500.18335017782346
2013,Agriculture & Natural Resources,641.9828614973775
2013,Business & Other Services,78.37658744943926
2013,Communications,13.572315580424624
2013,Education,790.9520573540682
2013,Energy,686.0682383189769
2013,Environmental Protection,1133.834955330051
2013,Finance & Banking,147.43569705272782
2013,Governance & Civil Society,1822.1921875877003
2013,Health,500.2231942095456
2013,Industry Mining & Construction,115.23001663245978
2013,Other Multisector,375.49000841392154
2013,Other Social Infrastructure,440.65572254983726
2013,Population & Reproductive Health,534.2574843282766
2013,Tourism,17.32137976916749
2013,Trade,68.63247406624782
2013,Transport & Storage,526.7358861870354
2013,Water & Sanitation,465.69008867274283
2014,Agriculture & Natural Resources,580.7541329286586
2014,Business & Other Services,63.55664575625745
2014,Communications,11.819713557133461
2014,Education,821.9945780992982
2014,Energy,962.699466072006
2014,Environmental Protection,690.4100787324719
2014,Finance & Banking,313.9897752033852
2014,Governance & Civil Society,1584.5410808702015
2014,Health,658.7111891775581
2014,Industry Mining & Construction,103.08684635454124
2014,Other Multisector,409.7268117460388
2014,Other Social Infrastructure,391.3951599427067
2014,Population & Reproductive Health,394.8286545583881
2014,Tourism,15.803837140377267
2014,Trade,46.567858873646585
2014,Transport & Storage,700.0934870682474
2014,Water & Sanitation,742.4865519190835
2015,Agriculture & Natural Resources,717.3035621397983
2015,Business & Other Services,100.21257015137095
2015,Communications,20.65870232587939
2015,Education,818.8495299047095
2015,Energy,662.3330942125107
2015,Environmental Protection,1165.8831082300287
2015,Finance & Banking,65.95392793072455
2015,Governance & Civil Society,1876.7268451034556
2015,Health,449.057821945156
2015,Industry Mining & Construction,74.77715403709205
2015,Other Multisector,733.603302724194
2015,Other Social Infrastructure,644.7385475027012
2015,Population & Reproductive Health,385.1932403051334
2015,Tourism,23.38516508553084
2015,Trade,43.161986919798224
2015,Transport & Storage,758.2984200138659
2015,Water & Sanitation,450.41646746805105
2016,Agriculture & Natural Resources,1598.8058370880005
2016,Business & Other Services,68.7503731423181
2016,Communications,15.152828675993293
2016,Education,1030.0515116418505
2016,Energy,995.43083136389
2016,Environmental Protection,1039.0078437571408
2016,Finance & Banking,285.568424193561
2016,Governance & Civil Society,1505.9600012680323
2016,Health,793.609977050732
2016,Industry Mining & Construction,98.24819850637058
2016,Other Multisector,993.7012703969591
2016,Other Social Infrastructure,603.4374031831082
2016,Population & Reproductive Health,370.3658102559289
2016,Tourism,20.304218879065687
2016,Trade,31.142135957293778
2016,Transport & Storage,740.8230897008224
2016,Water & Sanitation,769.3557899389324
2017,Agriculture & Natural Resources,686.9257048372224
2017,Business & Other Services,66.09486715121294
2017,Communications,35.4780904554851
2017,Education,1099.7788754293074
2017,Energy,686.4480292553832
2017,Environmental Protection,976.3000204915265
2017,Finance & Banking,170.1919596418466
2017,Governance & Civil Society,1612.2279922813568
2017,Health,568.744720009249
2017,Industry Mining & Construction,116.00348211177568
2017,Other Multisector,297.7699039982933
2017,Other Social Infrastructure,662.1294859701902
2017,Population & Reproductive Health,400.9978642082149
2017,Tourism,30.68984254606112
2017,Trade,32.98513484352733
2017,Transport & Storage,769.3634560579869
2017,Water & Sanitation,713.5767697113606
2018,Agriculture & Natural Resources,685.1886987542575
2018,Business & Other Services,80.54963659892964
2018,Communications,84.94029618736502
2018,Education,1039.4575075800497
2018,Energy,729.2043181921274
2018,Environmental Protection,947.6224763925957
2018,Finance & Banking,133.60555685110302
2018,Governance & Civil Society,1990.2200523106446
2018,Health,426.8141099008447
2018,Industry Mining & Construction,142.45953564366627
2018,Other Multisector,681.0454517283648
2018,Other Social Infrastructure,577.1898682734529
2018,Population & Reproductive Health,365.9498351963307
2018,Tourism,18.297141967809175
2018,Trade,39.51037865766859
2018,Transport & Storage,776.4683833340529
2018,Water & Sanitation,653.9423174307369
2019,Agriculture & Natural Resources,619.9056084928073
2019,Business & Other Services,114.34918241526964
2019,Communications,25.29048447689236
2019,Education,971.795343364373
2019,Energy,1000.0569868730594
2019,Environmental Protection,668.7760968971061
2019,Finance & Banking,106.76543380950108
2019,Governance & Civil Society,1793.2962459628252
2019,Health,450.03587676146446
2019,Industry Mining & Construction,160.80079472889182
2019,Other Multisector,387.33669289147383
2019,Other Social Infrastructure,441.2948118486445
2019,Population & Reproductive Health,269.22820921965285
2019,Tourism,23.485542899569168
2019,Trade,64.41854602278151
2019,Transport & Storage,809.6250795975768
2019,Water & Sanitation,492.16430073811074
2020,Agriculture & Natural Resources,786.202352212638
2020,Business & Other Services,78.44880411487806
2020,Communications,20.49915592227187
2020,Education,1004.695909570984
2020,Energy,586.0034049749182
2020,Environmental Protection,1096.349080422502
2020,Finance & Banking,511.07744566051787
2020,Governance & Civil Society,2830.2791970756357
2020,Health,812.2273226752731
2020,Industry Mining & Construction,128.51260274364935
2020,Other Multisector,542.4028847759604
2020,Other Social Infrastructure,511.3304065330986
2020,Population & Reproductive Health,399.7893393364415
2020,Tourism,12.007322709939642
2020,Trade,51.874015644593236
2020,Transport & Storage,846.160404144709
2020,Water & Sanitation,450.32785548198996
2021,Agriculture & Natural Resources,768.9115644012707
2021,Business & Other Services,76.43950052365551
2021,Communications,25.16550940126838
2021,Education,859.9433322044003
2021,Energy,367.09109678279015
2021,Environmental Protection,1161.7267361187505
2021,Finance & Banking,460.95663230921224
2021,Governance & Civil Society,1995.7126720151568
2021,Health,1556.2554441408765
2021,Industry Mining & Construction,161.52898853192264
2021,Other Multisector,937.6837959193232
2021,Other Social Infrastructure,742.783115435696
2021,Population & Reproductive Health,421.0737307727352
2021,Tourism,25.193693725675132
2021,Trade,28.854467922024046
2021,Transport & Storage,788.4814056671006
2021,Water & Sanitation,467.5773411281422
2022,Agriculture & Natural Resources,774.6480191267668
2022,Business & Other Services,79.85892620874
2022,Communications,32.427210130638876
2022,Education,930.9860652793128
2022,Energy,1535.3326755893984
2022,Environmental Protection,842.0604504173822
2022,Finance & Banking,467.8886054950143
2022,Governance & Civil Society,2454.981861023969
2022,Health,1579.4949204905522
2022,Industry Mining & Construction,280.6043236829774
2022,Other Multisector,730.8071219866367
2022,Other Social Infrastructure,963.4383002346399
2022,Population & Reproductive Health,476.7164217036275
2022,Tourism,54.17051258143234
2022,Trade,30.551955161136352
2022,Transport & Storage,934.8867715667163
2022,Water & Sanitation,628.005838321059
2023,Agriculture & Natural Resources,880.589825891018
2023,Business & Other Services,202.5567576769005
2023,Communications,36.21917970086795
2023,Education,940.8617602127013
2023,Energy,965.8230927324419
2023,Environmental Protection,701.1864789871917
2023,Finance & Banking,364.6854057451013
2023,Governance & Civil Society,1811.743505810323
2023,Health,755.4879791455213
2023,Industry Mining & Construction,113.80490792074349
2023,Other Multisector,908.5602068419815
2023,Other Social Infrastructure,818.2280557835295
2023,Population & Reproductive Health,536.8728708687137
2023,Tourism,14.925843713768293
2023,Trade,23.680384490754818
2023,Transport & Storage,1360.4071395513702
2023,Water & Sanitation,478.2469699270716
2024,Agriculture & Natural Resources,819.1914203709998
2024,Business & Other Services,101.17005213025908
2024,Communications,49.30026274209981
2024,Education,827.7727428054324
2024,Energy,501.0547713427043
2024,Environmental Protection,1320.1198861478483
2024,Finance & Banking,71.8968301061612
2024,Governance & Civil Society,2772.214409538863
2024,Health,579.9923824398384
2024,Industry Mining & Construction,86.64424819154533
2024,Other Multisector,538.8545011601902
2024,Other Social Infrastructure,466.881009181167
2024,Population & Reproductive Health,592.0744010649279
2024,Tourism,20.082104329050782
2024,Trade,24.882513827976
2024,Transport & Storage,1098.2881715011138
2024,Water & Sanitation,704.6688491198227
